pred_a,pred_b,trace_name,MPKI_A,MPKI_B,delta
Baseline,TAGE-SC-L,int_12_trace,0.4566,0.424,0.03260000000000002
Baseline,TAGE-SC-L,int_13_trace,0.9248,0.8891,0.035699999999999954
Baseline,TAGE-SC-L,infra_4_trace,2.479,2.4266,0.0524
Baseline,TAGE-SC-L,infra_5_trace,2.2119,2.1961,0.015800000000000036
Baseline,TAGE-SC-L,compress_0_trace,3.2681,3.2129,0.05520000000000014
Baseline,TAGE-SC-L,compress_1_trace,1.6834,1.658,0.02540000000000009
Baseline,TAGE-SC-L,web_22_trace,3.3895,3.2305,0.1589999999999998
Baseline,TAGE-SC-L,web_23_trace,1.1539,1.0101,0.14379999999999993
Baseline,TAGE-SC-L,web_9_trace,2.9326,2.4648,0.4678
Baseline,TAGE-SC-L,web_8_trace,5.1087,4.5731,0.5355999999999996
Baseline,TAGE-SC-L,int_6_trace,2.9584,2.9419,0.01650000000000018
Baseline,TAGE-SC-L,int_7_trace,5.7589,4.3662,1.3926999999999996
Baseline,TAGE-SC-L,infra_9_trace,4.5907,4.5259,0.06479999999999997
Baseline,TAGE-SC-L,infra_8_trace,1.2568,1.2477,0.009099999999999886
Baseline,TAGE-SC-L,web_11_trace,5.7895,4.6736,1.1159
Baseline,TAGE-SC-L,web_10_trace,3.366,2.8395,0.5265
Baseline,TAGE-SC-L,web_4_trace,4.4385,4.0201,0.4184000000000001
Baseline,TAGE-SC-L,web_5_trace,4.7119,4.2642,0.4477000000000002
Baseline,TAGE-SC-L,media_0_trace,1.1764,1.0617,0.1146999999999998
Baseline,TAGE-SC-L,media_1_trace,1.159,1.0357,0.12329999999999997
Baseline,TAGE-SC-L,infra_12_trace,1.0706,0.9739,0.09670000000000001
Baseline,TAGE-SC-L,infra_13_trace,4.2404,4.063,0.17740000000000045
Baseline,TAGE-SC-L,int_21_trace,24.1502,23.7948,0.35540000000000305
Baseline,TAGE-SC-L,int_20_trace,2.7912,2.3512,0.43999999999999995
Baseline,TAGE-SC-L,int_15_trace,0.4788,0.4705,0.00830000000000003
Baseline,TAGE-SC-L,int_14_trace,0.3966,0.3844,0.012199999999999989
Baseline,TAGE-SC-L,infra_3_trace,1.0632,1.0284,0.03479999999999994
Baseline,TAGE-SC-L,infra_2_trace,0.4838,0.4526,0.031200000000000006
Baseline,TAGE-SC-L,fp_10_trace,2.1174,1.9156,0.20179999999999998
Baseline,TAGE-SC-L,fp_11_trace,0.6989,0.628,0.07089999999999996
Baseline,TAGE-SC-L,web_25_trace,6.3793,5.7951,0.5842
Baseline,TAGE-SC-L,web_24_trace,2.0456,1.6777,0.3678999999999999
Baseline,TAGE-SC-L,compress_7_trace,2.048,2.0384,0.009599999999999831
Baseline,TAGE-SC-L,compress_6_trace,1.9036,1.8788,0.024799999999999933
Baseline,TAGE-SC-L,int_1_trace,11.6458,11.4406,0.2051999999999996
Baseline,TAGE-SC-L,int_0_trace,5.1327,5.0346,0.09809999999999963
Baseline,TAGE-SC-L,fp_7_trace,1.1277,1.0028,0.12490000000000001
Baseline,TAGE-SC-L,int_36_trace,3.9821,2.9342,1.0478999999999998
Baseline,TAGE-SCL,int_11_trace,4.2059,3.8809,0.32499999999999973
Baseline,TAGE-SCL,int_10_trace,0.5363,0.5222,0.014100000000000001
Baseline,TAGE-SCL,infra_7_trace,1.4983,1.4041,0.09420000000000006
Baseline,TAGE-SCL,infra_6_trace,1.2642,1.19,0.07420000000000004
Baseline,TAGE-SCL,compress_3_trace,8.2499,7.7625,0.48740000000000006
Baseline,TAGE-SCL,compress_2_trace,1.4826,1.4407,0.041899999999999826
Baseline,TAGE-SCL,web_21_trace,1.7274,1.4569,0.27049999999999996
Baseline,TAGE-SCL,web_20_trace,4.218,3.1562,1.0617999999999999
Baseline,TAGE-SCL,int_5_trace,2.855,2.8235,0.03149999999999986
Baseline,TAGE-SCL,int_4_trace,4.1379,3.6946,0.44330000000000025
Baseline,TAGE-SCL,web_15_trace,6.1054,5.0241,1.0813000000000006
Baseline,TAGE-SCL,web_14_trace,3.6627,3.3625,0.30020000000000024
Baseline,TAGE-SCL,web_0_trace,1.3961,1.3052,0.09089999999999998
Baseline,TAGE-SCL,web_1_trace,3.5186,3.1889,0.3297000000000003
Baseline,TAGE-SCL,int_25_trace,1.3243,1.3297,-0.005400000000000071
Baseline,TAGE-SCL,int_24_trace,0.5662,0.5115,0.05470000000000008
Baseline,TAGE-SCL,fp_9_trace,4.5518,4.1168,0.4350000000000005
Baseline,TAGE-SCL,fp_8_trace,7.8738,7.3856,0.48819999999999997
Baseline,TAGE-SCL,fp_3_trace,2.0315,1.8767,0.15479999999999983
Baseline,TAGE-SCL,fp_2_trace,2.5615,2.5338,0.02770000000000028
Baseline,TAGE-SCL,int_32_trace,6.9551,6.3487,0.6063999999999998
Baseline,TAGE-SCL,int_33_trace,7.9877,7.4416,0.5461
Baseline,TAGE-SCL,fp_4_trace,0.5736,0.5247,0.048899999999999944
Baseline,TAGE-SCL,fp_5_trace,0.9364,0.9252,0.011199999999999988
Baseline,TAGE-SCL,int_35_trace,2.4647,2.0167,0.44799999999999995
Baseline,TAGE-SCL,int_34_trace,3.0703,2.8455,0.2248000000000001
Baseline,TAGE-SCL,web_18_trace,2.8461,2.7095,0.13660000000000005
Baseline,TAGE-SCL,fp_13_trace,12.6898,12.3153,0.3744999999999994
Baseline,TAGE-SCL,fp_12_trace,1.2157,1.0969,0.11880000000000002
Baseline,TAGE-SCL,int_16_trace,8.1253,5.8279,2.2973999999999997
Baseline,TAGE-SCL,int_17_trace,6.3949,4.8436,1.5512999999999995
Baseline,TAGE-SCL,infra_0_trace,1.2832,1.2453,0.03789999999999982
Baseline,TAGE-SCL,infra_1_trace,0.3574,0.3743,-0.016900000000000026
Baseline,TAGE-SCL,compress_4_trace,1.8228,1.7816,0.0411999999999999
Baseline,TAGE-SCL,compress_5_trace,1.9322,1.882,0.05020000000000002
Baseline,TAGE-SCL,int_28_trace,3.6745,3.2163,0.45820000000000016
Baseline,TAGE-SCL,int_29_trace,12.4572,11.4747,0.9824999999999999
Baseline,TAGE-SCL,int_2_trace,10.9652,9.9876,0.9775999999999989
Baseline,TAGE-SCL,int_3_trace,0.8818,0.7862,0.09560000000000002
Baseline,TAGE-SCL,web_12_trace,4.4363,3.8768,0.5595000000000003
Baseline,TAGE-SCL,web_13_trace,3.3938,2.9612,0.4326000000000003
Baseline,TAGE-SCL,web_7_trace,7.7526,6.1046,1.6480000000000006
Baseline,TAGE-SCL,web_6_trace,4.8893,4.5376,0.3517000000000001
Baseline,TAGE-SCL,media_3_trace,1.3813,1.2465,0.13480000000000003
Baseline,TAGE-SCL,media_2_trace,0.5317,0.5057,0.025999999999999912
Baseline,TAGE-SCL,infra_11_trace,1.0885,0.9468,0.14170000000000005
